key,value
hide,"Hide"
show,"Show"
clusters_legend,"Legend"
overview_title,"Overview"
red_arrows,"Red arrows"
blue_arrows,"Blue arrows"
interactions_from_you,"interactions FROM you"
interactions_to_you,"interactions TO you"
overview_part1,"On this map users are represented as nodes and interactions are represented as arrows."
overview_clusters,"Represented Clusters:"
users,"Users"
represented,"Represented"
interactions,"Interactions"
show_communities,"Show communities"
graph_will_refresh,"(graph will refresh)"
experimental_options,"Experimental options"
show_hidden_clusters,"Show all clusters"
interactions,"Interactions"
of_friends,"of friends"
labels,"Cluster labels"
of_clusters,""
more_details,"Legend"
on_clusters,""
cluster_algo_made_by,"Community detection algorithm by"
visualization,"Visualization"
based_on_atlas,"based on atlas"
from,"by"
search_for_a_handle,"Search for a handle"
top_moots,"Top moots"
these_are_top_moots_that,"These are the top moots that"
has_interacted_with,"has interacted with."
