key,value
hide,"Приховати"
show,"Показати"
clusters_legend,"Детальніше про кластери"
overview_title,"Загальні риси"
red_arrows,"Червоні стрілочки"
blue_arrows,"Сині стрілочки"
interactions_from_you,"взаємодії ВІД вас"
interactions_to_you,"взаємодії ДО вас"
overview_part1,"На цій мапі представлені акаунти у вигляді кульок і взаємодії між ними - у вигляді стрілочок."
overview_clusters,"Представлені Кластери:"
users,"Користувачі"
represented,"Представлені"
interactions,"Взаємодії"
show_communities,"Показати спільноти"
graph_will_refresh,"(граф оновиться)"
experimental_options,"Експериментальні опції"
show_hidden_clusters,"Показати всі кластери"
interactions,"Зв'язки"
of_friends,"друзів"
labels,"Назви"
of_clusters,"кластерів"
more_details,"Детальніше"
on_clusters,"про кластери"
cluster_algo_made_by,"Алгоритм кластеризації від"
visualization,"Візуалізація"
based_on_atlas,"на основі атласу"
from,"від"
search_for_a_handle,"Шукати за ім'ям"
top_moots,"Список топ взаємодій"
these_are_top_moots_that,"Це топ користувачів, з якими"
has_interacted_with,"взаємодіяли"
